lead_organization,implementing_partner,sub_cluster,response_activity,quantity_planned,quantity_delivered,province,district,indicator,beneficiary_type,no_of_individual_targeted,total_no_of_individuals_reached,no_of_girls_reached,no_of_boys_reached,no_of_women_reached,no_of_men_reached,status,funding_source,intial_4w_recotd,admin3_limit_test,short_name,admin3_p_code,start,start_dow,start_month,start_year,end_year,last_updated_year,month
Christian Aid,Africa AHEAD,Sanitation,Other Sanitation,4,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,4,0,0,0,0,0,Planned,CA,7,30,CA-AFAH,ZW110309,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Sanitation,Other Sanitation,2,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,2,0,0,0,0,0,Planned,CA,8,30,CA-AFAH,ZW110314,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Sanitation,3.1 - Installation and/or management of latrines,40,0,Manicaland,Chipinge,# of people with access to appropriate sanitation,IDP & General Population,40,0,0,0,0,0,Planned,CA,9,30,CA-AFAH,ZW110302,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Sanitation,3.1 - Installation and/or management of latrines,40,0,Manicaland,Chipinge,# of people with access to appropriate sanitation,IDP & General Population,40,0,0,0,0,0,Planned,CA,10,30,CA-AFAH,ZW110309,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Sanitation,3.1 - Installation and/or management of latrines,10,0,Manicaland,Chipinge,# of people with access to appropriate sanitation,IDP & General Population,10,0,0,0,0,0,Planned,CA,11,30,CA-AFAH,ZW110314,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Hygiene,4.1 - Dissemination of WASH related messages through mass media & community activities.,80,0,Manicaland,Chipinge,# of people receiving sanitation and hygiene messages,IDP & General Population,80,0,0,0,0,0,Planned,CA,12,30,CA-AFAH,ZW110302,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Hygiene,4.1 - Dissemination of WASH related messages through mass media & community activities.,80,0,Manicaland,Chipinge,# of people receiving sanitation and hygiene messages,IDP & General Population,80,0,0,0,0,0,Planned,CA,13,30,CA-AFAH,ZW110309,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Hygiene,4.1 - Dissemination of WASH related messages through mass media & community activities.,40,0,Manicaland,Chipinge,# of people receiving sanitation and hygiene messages,IDP & General Population,40,0,0,0,0,0,Planned,CA,14,30,CA-AFAH,ZW110314,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Hygiene,Other Hygiene,10,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,10,0,0,0,0,0,Planned,CA,15,30,CA-AFAH,ZW110302,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Hygiene,Other Hygiene,10,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,10,0,0,0,0,0,Planned,CA,16,30,CA-AFAH,ZW110314,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Christian Aid,Africa AHEAD,Hygiene,Other Hygiene,5,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,5,0,0,0,0,0,Planned,CA,17,30,CA-AFAH,ZW110309,2019-04-15,2019-04-14,Apr,2019,2019,2019,2019-04-01
Action Against Hunger,Africa AHEAD,Water,2.4 - Rehabilitation and disinfection of existing water points,9,0,Manicaland,Chipinge,# of people with access to safe & sufficient quantity of water,IDP & General Population,2250,0,0,0,0,0,Planned,ACF,159,30,ACF-AFAH,ZW110312,2019-05-01,2019-04-28,May,2019,2019,2019,2019-05-01
Action Against Hunger,Africa AHEAD,Water,Other Water,9,0,Manicaland,Chipinge,# of people reached with other WASH services,IDP & General Population,9,0,0,0,0,0,Planned,ACF,161,30,ACF-AFAH,ZW110312,2019-05-01,2019-04-28,May,2019,2019,2019,2019-05-01
Action Against Hunger,Africa AHEAD,Hygiene,4.2 - Household level hygiene promotion activities,5,0,Manicaland,Chipinge,# of people receiving sanitation and hygiene messages,School Aged Children,2500,0,0,0,0,0,Planned,ACF,163,30,ACF-AFAH,ZW110312,2019-05-01,2019-04-28,May,2019,2019,2019,2019-05-01
Action Against Hunger,Africa AHEAD,Hygiene,4.1 - Dissemination of WASH related messages through mass media & community activities.,1,0,Manicaland,Chipinge,# of people receiving sanitation and hygiene messages,IDP & General Population,8500,0,0,0,0,0,Planned,ACF,165,30,ACF-AFAH,ZW110312,2019-05-01,2019-04-28,May,2019,2019,2019,2019-05-01
Christian Aid,AWET,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,18,18,Manicaland,Buhera,# of people receiving WASH NFI kits,"Most vulnerable (HH, PLW, young girls/women)",90,90,76,68,57,58,Ongoing,CHRISTIAN AID,210,33,CA-AWET,ZW110110,2019-03-29,2019-03-24,Mar,2019,2019,2019,2019-03-01
Christian Aid,AWET,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,36,36,Manicaland,Buhera,# of people receiving WASH NFI kits,"Most vulnerable (HH, PLW, young girls/women)",180,180,76,68,57,58,Ongoing,CHRISTIAN AID,211,33,CA-AWET,ZW110111,2019-03-29,2019-03-24,Mar,2019,2019,2019,2019-03-01
Christian Aid,AWET,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,63,63,Manicaland,Buhera,# of people receiving WASH NFI kits,"Most vulnerable (HH, PLW, young girls/women)",315,315,76,68,57,58,Ongoing,CHRISTIAN AID,212,33,CA-AWET,ZW110113,2019-03-29,2019-03-24,Mar,2019,2019,2019,2019-03-01
Christian Aid,AWET,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,15,15,Manicaland,Buhera,# of people receiving WASH NFI kits,"Most vulnerable (HH, PLW, young girls/women)",75,75,76,68,57,58,Ongoing,CHRISTIAN AID,213,33,CA-AWET,ZW110116,2019-03-29,2019-03-24,Mar,2019,2019,2019,2019-03-01
Christian Aid,AWET,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,170,170,Manicaland,Chipinge,# of people receiving WASH NFI kits,"Most vulnerable (HH, PLW, young girls/women)",850,850,76,68,57,58,Ongoing,CHRISTIAN AID,214,30,CA-AWET,ZW110302,2019-03-29,2019-03-24,Mar,2019,2019,2019,2019-03-01
Christian Aid,AWET,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,303,303,Manicaland,Chipinge,# of people receiving WASH NFI kits,"Most vulnerable (HH, PLW, young girls/women)",1515,1515,76,68,57,58,Ongoing,CHRISTIAN AID,215,30,CA-AWET,ZW110309,2019-03-29,2019-03-24,Mar,2019,2019,2019,2019-03-01
Christian Aid,AWET,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,400,400,Manicaland,Chipinge,# of people receiving WASH NFI kits,"Most vulnerable (HH, PLW, young girls/women)",2000,2000,76,68,57,58,Ongoing,CHRISTIAN AID,216,30,CA-AWET,ZW110314,2019-03-29,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Chimanimani,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,14000,4149,76,68,2700,1449,Planned,CARE ERF FUNDING AND BILL GATES FOUNDATION,36,23,Care,ZW110213,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Chipinge,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,5000,3180,76,68,1098,1072,Planned,CARE ERF FUNDING AND BILL GATES FOUNDATION,37,30,Care,ZW110309,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Mutare,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,2082,446,127,135,94,90,Ongoing,CARE ERF FUNDING AND BILL GATES FOUNDATION,1,36,Care,ZW110522,2019-03-19,2019-03-17,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Buhera,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,53,53,16,15,12,10,Completed,CARE ERF FUNDING AND BILL GATES FOUNDATION,2,33,Care,ZW110105,2019-03-19,2019-03-17,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Buhera,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,7,7,2,3,1,1,Completed,CARE ERF FUNDING AND BILL GATES FOUNDATION,3,33,Care,ZW110106,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Buhera,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,32,32,8,9,9,5,Completed,CARE ERF FUNDING AND BILL GATES FOUNDATION,4,33,Care,ZW110110,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Buhera,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,7,7,2,1,2,2,Completed,CARE ERF FUNDING AND BILL GATES FOUNDATION,5,33,Care,ZW110111,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Buhera,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,40,40,10,11,10,9,Completed,CARE ERF FUNDING AND BILL GATES FOUNDATION,6,33,Care,ZW110119,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Buhera,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,40,40,13,19,8,8,Completed,CARE ERF FUNDING AND BILL GATES FOUNDATION,7,33,Care,ZW110121,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Buhera,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,20,20,4,8,4,4,Completed,CARE ERF FUNDING AND BILL GATES FOUNDATION,8,33,Care,ZW110123,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Buhera,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,19,19,8,5,3,3,Completed,CARE ERF FUNDING AND BILL GATES FOUNDATION,9,33,Care,ZW110124,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Hygiene,4.5 - Procurement and distribution of WASH Hygiene kits,44.5,15,Manicaland,Buhera,"# of people receiving Hygiene kits (family kit, female dignity kit)",IDP & General Population,81,81,25,28,15,13,Completed,CARE ERF FUNDING AND BILL GATES FOUNDATION,10,33,Care,ZW110133,2019-03-27,2019-03-24,Mar,2019,2019,2019,2019-03-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,1,1,Manicaland,Chipinge,# of people reached with other WASH services,General Population,135,135,13,13,54,55,Ongoing,CARE BILL GATES FOUNDATION,11,30,Care,ZW110308,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,1,1,Manicaland,Chipinge,# of people reached with other WASH services,General Population,165,165,45,38,47,35,Ongoing,CARE BILL GATES FOUNDATION,12,30,Care,ZW110308,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,2,2,Manicaland,Chipinge,# of people reached with other WASH services,School Aged Children,819,819,386,433,57,58,Ongoing,CARE BILL GATES FOUNDATION,13,30,Care,ZW110308,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,3,3,Manicaland,Chimanimani,# of people reached with other WASH services,IDP & General Population,780,780,232,125,191,125,Ongoing,CARE BILL GATES FOUNDATION,14,23,Care,ZW110213,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,6,6,Manicaland,Chimanimani,# of people reached with other WASH services,IDP & General Population,1530,1530,473,402,353,302,Ongoing,CARE BILL GATES FOUNDATION,15,23,Care,ZW110213,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,1,1,Manicaland,Chimanimani,# of people reached with other WASH services,IDP & General Population,250,250,76,68,57,58,Ongoing,CARE BILL GATES FOUNDATION,16,23,Care,ZW110217,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,2,2,Manicaland,Chimanimani,# of people reached with other WASH services,IDP & General Population,263,263,76,68,57,58,Ongoing,CARE BILL GATES FOUNDATION,17,23,Care,ZW110217,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,2,2,Manicaland,Chimanimani,# of people reached with other WASH services,IDP & General Population,300,300,76,68,57,58,Ongoing,CARE BILL GATES FOUNDATION,18,23,Care,ZW110217,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,1,1,Manicaland,Chimanimani,# of people reached with other WASH services,General Population,38,38,76,68,57,58,Planned,CARE BILL GATES FOUNDATION,19,23,Care,ZW110217,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Water,2.6 - Water Quality Monitoring,3,3,Manicaland,Chimanimani,# of people reached with other WASH services,IDP & General Population,768,768,76,68,57,58,Ongoing,CARE BILL GATES FOUNDATION,20,23,Care,ZW110218,2019-04-22,2019-04-21,Apr,2019,2019,2019,2019-04-01
Care International,Care International,Hygiene,4.2 - Household level hygiene promotion activities,38,38,Manicaland,Chipinge,# of people receiving sanitation and hygiene messages,IDP & General Population,39,38,7,5,14,12,Ongoing,CARE BILL GATES FOUNDATION,21,30,Care,ZW110318,2019-05-06,2019-05-05,May,2019,2019,2019,2019-05-01
Care International,Care International,Hygiene,4.1 - Dissemination of WASH related messages through mass media & community activities.,1,1,Manicaland,Buhera,# of people receiving sanitation and hygiene messages,General Population,812,812,53,23,410,326,Ongoing,CARE BILL GATES FOUNDATION,22,33,Care,ZW110115,2019-05-06,2019-05-05,May,2019,2019,2019,2019-05-01
Care International,Care International,Hygiene,4.1 - Dissemination of WASH related messages through mass media & community activities.,1,1,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,"Most vulnerable (HH, PLW, young girls/women)",160,160,76,68,45,115,Ongoing,CARE BILL GATES FOUNDATION,23,23,Care,ZW110213,2019-05-06,2019-05-05,May,2019,2019,2019,2019-05-01
Care International,Care International,Hygiene,4.1 - Dissemination of WASH related messages through mass media & community activities.,1,1,Manicaland,Chipinge,# of people receiving sanitation and hygiene messages,"Most vulnerable (HH, PLW, young girls/women)",4000,4000,76,68,2735,1265,Ongoing,CARE BILL GATES FOUNDATION,24,30,Care,ZW110302,2019-05-06,2019-05-05,May,2019,2019,2019,2019-05-01
Care International,Care International,Hygiene,4.1 - Dissemination of WASH related messages through mass media & community activities.,1,1,Manicaland,Buhera,# of people receiving sanitation and hygiene messages,General Population,1017,1017,348,394,150,125,Ongoing,CARE BILL GATES FOUNDATION,25,33,Care,ZW110125,2019-05-05,2019-05-05,May,2019,2019,2019,2019-05-01
CAFOD,Caritas Mutare,Hygiene,4.2 - Household level hygiene promotion activities,60,60,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,IDP & General Population,300,436,76,68,248,188,Ongoing,"CAFOD; UKAID, ISLAMIC RELIEF",101,23,CAFOD-Caritas,ZW110203,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,60,60,Manicaland,Chimanimani,# of people receiving WASH NFI kits,IDP & General Population,300,436,76,68,248,188,Ongoing,UN-DECLARED,102,23,CAFOD-Caritas,ZW110203,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.2 - Household level hygiene promotion activities,60,80,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,IDP & General Population,300,345,76,68,155,190,Ongoing,UN-DECLARED,103,23,CAFOD-Caritas,ZW110208,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,60,80,Manicaland,Chimanimani,# of people receiving WASH NFI kits,IDP & General Population,300,345,76,68,155,190,Ongoing,UN-DECLARED,104,23,CAFOD-Caritas,ZW110208,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.2 - Household level hygiene promotion activities,60,60,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,IDP & General Population,300,262,76,68,82,180,Ongoing,UN-DECLARED,105,23,CAFOD-Caritas,ZW110212,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,60,60,Manicaland,Chimanimani,# of people receiving WASH NFI kits,IDP & General Population,300,262,76,68,82,180,Ongoing,UN-DECLARED,106,23,CAFOD-Caritas,ZW110212,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.2 - Household level hygiene promotion activities,60,100,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,IDP & General Population,300,517,76,68,268,249,Ongoing,UN-DECLARED,107,23,CAFOD-Caritas,ZW110213,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,60,100,Manicaland,Chimanimani,# of people receiving WASH NFI kits,IDP & General Population,300,517,76,68,268,249,Ongoing,UN-DECLARED,108,23,CAFOD-Caritas,ZW110213,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.2 - Household level hygiene promotion activities,60,1300,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,IDP & General Population,300,5314,76,68,3688,1626,Ongoing,UN-DECLARED,109,23,CAFOD-Caritas,ZW110215,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,60,1300,Manicaland,Chimanimani,# of people receiving WASH NFI kits,IDP & General Population,600,5314,76,68,3688,1626,Ongoing,UN-DECLARED,110,23,CAFOD-Caritas,ZW110215,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.2 - Household level hygiene promotion activities,60,964,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,IDP & General Population,600,4820,76,68,2980,1840,Ongoing,UN-DECLARED,111,23,CAFOD-Caritas,ZW110215,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,60,964,Manicaland,Chimanimani,# of people receiving WASH NFI kits,IDP & General Population,600,4820,76,68,2980,1840,Ongoing,UN-DECLARED,112,23,CAFOD-Caritas,ZW110215,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.2 - Household level hygiene promotion activities,60,213,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,IDP & General Population,600,854,76,68,462,392,Ongoing,UN-DECLARED,113,23,CAFOD-Caritas,ZW110216,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.3 - Procurement and distribution of WASH related NFIs,60,213,Manicaland,Chimanimani,# of people receiving WASH NFI kits,IDP & General Population,600,854,76,68,462,392,Ongoing,UN-DECLARED,114,23,CAFOD-Caritas,ZW110216,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
CAFOD,Caritas Mutare,Hygiene,4.2 - Household level hygiene promotion activities,60,213,Manicaland,Chimanimani,# of people receiving sanitation and hygiene messages,IDP & General Population,600,853,76,68,462,391,Ongoing,UN-DECLARED,115,23,CAFOD-Caritas,ZW110217,2019-03-19,2019-03-17,Mar,2019,2021,2019,2019-03-01
